/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
Dataset is unwei_ASL_MNIST
DataLoader :  <load_data.LoadASLData object at 0x148b167c6dc0>
Val Accuracy after query 95: 0.9000
test Accuracy after query 95: 0.8330
Val Accuracy after query 100: 0.9100
test Accuracy after query 100: 0.8492
Val Accuracy after query 105: 0.9100
test Accuracy after query 105: 0.8536
Val Accuracy after query 110: 0.9100
test Accuracy after query 110: 0.8392
Val Accuracy after query 115: 0.9200
test Accuracy after query 115: 0.8606
Val Accuracy after query 120: 0.9100
test Accuracy after query 120: 0.8568
Val Accuracy after query 125: 0.9200
test Accuracy after query 125: 0.8642
Val Accuracy after query 130: 0.9200
test Accuracy after query 130: 0.8732
Val Accuracy after query 135: 0.9400
test Accuracy after query 135: 0.8598
Val Accuracy after query 140: 0.9200
test Accuracy after query 140: 0.8774
Val Accuracy after query 145: 0.9400
test Accuracy after query 145: 0.8878
Val Accuracy after query 150: 0.9500
test Accuracy after query 150: 0.8770
********** Test Accuracy per experiment: 0.877 **********
********** Experiment 3 (uniform-MC_dropout=True): 0:5:41 **********
Average Test score for uniform-MC_dropout=True: 0.8827333333333334
Saved: result_npy/uniform-MC_dropout=Trueunwei_ASL_MNIST.npy

---------- Start max_entropy-MC_dropout=True training! ----------
********** Experiment Iterations: 1/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3700
test Accuracy after query 5: 0.4246
Val Accuracy after query 10: 0.4100
test Accuracy after query 10: 0.4834
Val Accuracy after query 15: 0.5300
test Accuracy after query 15: 0.5700
Val Accuracy after query 20: 0.6200
test Accuracy after query 20: 0.6172
Val Accuracy after query 25: 0.6900
test Accuracy after query 25: 0.6828
Val Accuracy after query 30: 0.7300
test Accuracy after query 30: 0.7148
Val Accuracy after query 35: 0.8300
test Accuracy after query 35: 0.7316
Val Accuracy after query 40: 0.8500
test Accuracy after query 40: 0.7948
Val Accuracy after query 45: 0.8900
test Accuracy after query 45: 0.8250
Val Accuracy after query 50: 0.9100
test Accuracy after query 50: 0.8382
Val Accuracy after query 55: 0.9300
test Accuracy after query 55: 0.8478
Val Accuracy after query 60: 0.9500
test Accuracy after query 60: 0.8696
Val Accuracy after query 65: 0.9800
test Accuracy after query 65: 0.8948
Val Accuracy after query 70: 0.9900
test Accuracy after query 70: 0.8964
Val Accuracy after query 75: 0.9900
test Accuracy after query 75: 0.9058
Val Accuracy after query 80: 0.9900
test Accuracy after query 80: 0.9132
Val Accuracy after query 85: 0.9900
